month,zipcode,avg_hours
2024-03,10154,15.83
2024-03,10158,0.19
2024-03,10165,2.45
2024-03,10167,20.45
2024-03,10168,63.6
2024-03,10169,21.93
2024-03,10170,3.87
2024-03,10171,31.81
2024-03,10172,35.66
2024-03,10173,1328.93
2024-03,10174,0.71
2024-03,10175,1.06
2024-03,10176,1181.24
2024-03,10178,1451.78
2024-03,10271,1.46
2024-03,10278,6.91
2024-03,10279,84.71
2024-03,10280,355.58
2024-03,10281,1.11
2024-03,10282,86.66
2024-03,10301,487.34
2024-03,10302,375.39
2024-03,10303,368.16
2024-03,10304,367.02
2024-03,10305,323.32
2024-03,10306,358.38
2024-03,10307,364.12
2024-03,10308,356.67
2024-03,10309,294.68
2024-03,10310,321.81
2024-03,10312,336.75
2024-03,10314,310.86
2024-03,10451,271.4
2024-03,10452,221.0
2024-03,10453,255.54
2024-03,10454,270.82
2024-03,10455,287.36
2024-03,10456,271.45
2024-03,10457,237.48
2024-03,10458,301.5
2024-03,10459,230.17
2024-03,10460,295.71
2024-03,10461,101.62
2024-03,10462,183.56
2024-03,10463,157.28
2024-03,10464,208.1
2024-03,10465,72.11
2024-03,10466,196.88
2024-03,10467,249.93
2024-03,10468,245.1
2024-03,10469,233.59
2024-03,10470,226.32
2024-03,10471,261.19
2024-03,10472,223.63
2024-03,10473,146.65
2024-03,10474,206.65
2024-03,10475,204.32
2024-03,11001,543.08
2024-03,11004,547.84
2024-03,11005,141.25
2024-03,11040,878.9
2024-03,11101,189.02
2024-03,11102,242.22
2024-03,11103,173.56
2024-03,11104,327.0
2024-03,11105,227.42
2024-03,11106,182.63
2024-03,11109,7.13
2024-03,11201,263.81
2024-03,11203,292.32
2024-03,11204,263.2
2024-03,11205,241.76
2024-03,11206,369.49
2024-03,11207,225.05
2024-03,11208,207.61
2024-03,11209,207.79
2024-03,11210,457.05
2024-03,11211,358.99
2024-03,11212,380.02
2024-03,11213,456.05
2024-03,11214,199.6
2024-03,11215,367.46
2024-03,11216,441.23
2024-03,11217,266.28
2024-03,11218,269.84
2024-03,11219,245.59
2024-03,11220,300.73
2024-03,11221,523.43
2024-03,11222,177.29
2024-03,11223,373.5
2024-03,11224,468.82
2024-03,11225,292.21
2024-03,11226,305.76
2024-03,11228,245.49
2024-03,11229,430.15
2024-03,11230,210.38
2024-03,11231,305.43
2024-03,11232,285.92
2024-03,11233,397.43
2024-03,11234,186.45
2024-03,11235,680.61
2024-03,11236,201.84
2024-03,11237,423.61
2024-03,11238,346.62
2024-03,11239,55.08
2024-03,11241,921.89
2024-03,11242,8.94
2024-03,11249,264.61
2024-03,11251,0.39
2024-03,11354,497.18
2024-03,11355,341.76
2024-03,11356,249.97
2024-03,11357,942.31
2024-03,11358,683.06
2024-03,11359,0.35
2024-03,11360,321.52
2024-03,11361,365.73
2024-03,11362,747.74
2024-03,11363,421.97
2024-03,11364,415.64
2024-03,11365,400.44
2024-03,11366,67.94
2024-03,11367,392.37
2024-03,11368,167.99
2024-03,11369,369.71
2024-03,11370,174.13
2024-03,11371,397.59
2024-03,11372,216.56
2024-03,11373,200.12
2024-03,11374,355.47
2024-03,11375,195.53
2024-03,11377,171.51
2024-03,11378,161.49
2024-03,11379,234.39
2024-03,11385,280.41
2024-03,11411,431.49
2024-03,11412,313.43
2024-03,11413,363.77
2024-03,11414,655.97
2024-03,11415,291.2
2024-03,11416,129.91
2024-03,11417,330.72
2024-03,11418,241.04
2024-03,11419,231.9
2024-03,11420,420.82
2024-03,11421,172.67
2024-03,11422,306.24
2024-03,11423,399.2
2024-03,11426,452.07
2024-03,11427,697.66
2024-03,11428,478.51
2024-03,11429,430.46
2024-03,11430,1440.68
2024-03,11432,349.11
2024-03,11433,208.73
2024-03,11434,338.47
2024-03,11435,194.55
2024-03,11436,207.96
2024-03,11553,783.89
2024-03,11575,93.93
2024-03,11691,288.67
2024-03,11692,273.98
2024-03,11693,148.99
2024-03,11694,348.99
2024-03,11697,186.99
2024-03,11735,732.79
2024-03,11791,762.17
2024-03,15212,733.67
2024-03,17110,732.24
2024-03,17606,732.46
2024-03,19034,747.4
2024-03,92879,78.49
2024-04,00083,18.47
2024-04,07081,10824.55
2024-04,07083,734.12
2024-04,07660,356.77
2024-04,10000,217.41
2024-04,10001,283.81
2024-04,10002,291.78
2024-04,10003,404.82
2024-04,10004,67.85
2024-04,10005,159.39
2024-04,10006,77.52
2024-04,10007,238.32
2024-04,10009,436.02
2024-04,10010,347.15
2024-04,10011,499.41
2024-04,10012,337.71
2024-04,10013,420.82
2024-04,10014,359.23
2024-04,10016,314.68
2024-04,10017,230.26
2024-04,10018,304.31
2024-04,10019,372.47
2024-04,10020,501.97
2024-04,10021,456.9
2024-04,10022,316.01
2024-04,10023,301.79
2024-04,10024,444.46
2024-04,10025,398.14
2024-04,10026,401.69
2024-04,10027,446.43
2024-04,10028,266.02
2024-04,10029,398.96
2024-04,10030,528.76
2024-04,10031,554.26
2024-04,10032,328.43
2024-04,10033,334.62
2024-04,10034,265.14
2024-04,10035,283.5
2024-04,10036,528.02
2024-04,10037,480.59
2024-04,10038,156.16
2024-04,10039,405.28
2024-04,10040,238.47
2024-04,10041,1454.24
2024-04,10044,286.84
2024-04,10045,1.62
2024-04,10065,467.1
2024-04,10069,507.69
2024-04,10075,391.41
2024-04,10103,1051.8
2024-04,10105,463.39
2024-04,10106,7.56
2024-04,10107,5.7
2024-04,10110,100.93
2024-04,10112,56.63
2024-04,10115,230.69
2024-04,10118,143.14
2024-04,10119,33.95
2024-04,10120,3.16
2024-04,10121,228.33
2024-04,10123,2299.06
2024-04,10128,373.94
2024-04,10153,2173.18
2024-04,10154,1.67
2024-04,10158,0.26
2024-04,10162,35.02
2024-04,10167,0.54
2024-04,10168,474.41
2024-04,10169,114.93
2024-04,10170,12.87
2024-04,10172,1369.94
2024-04,10173,7878.09
2024-04,10174,0.23
2024-04,10175,0.94
2024-04,10176,0.17
2024-04,10177,3.99
2024-04,10178,0.24
2024-04,10179,105.64
2024-04,10271,1.43
2024-04,10278,160.39
2024-04,10279,421.69
2024-04,10280,270.51
2024-04,10281,15.6
2024-04,10282,160.38
2024-04,10301,242.66
2024-04,10302,319.4
2024-04,10303,395.34
2024-04,10304,274.17
2024-04,10305,136.32
2024-04,10306,181.13
2024-04,10307,260.16
2024-04,10308,389.84
2024-04,10309,198.58
2024-04,10310,260.22
2024-04,10312,397.69
2024-04,10314,349.55
2024-04,10451,263.33
2024-04,10452,309.81
2024-04,10453,279.02
2024-04,10454,404.47
2024-04,10455,291.81
2024-04,10456,231.51
2024-04,10457,218.71
2024-04,10458,269.07
2024-04,10459,277.12
2024-04,10460,273.54
2024-04,10461,149.84
2024-04,10462,216.62
